Poll,Date,Sample,MoE,Clinton (D),Trump (R),Spread,Date_start,Date_end
QuinnipiacQuinnipiac,5/19 - 5/26,1711 RV,2.4,50.0,32.0,Clinton +18,2015-05-19,2015-05-26
FOX NewsFOX News,6/21 - 6/23,1005 RV,3.0,51.0,34.0,Clinton +17,2015-06-21,2015-06-23
CNN/Opinion ResearchCNN/ORC,6/26 - 6/28,890 RV,3.5,59.0,35.0,Clinton +24,2015-06-26,2015-06-28
USA Today/SuffolkUSA Today,7/9 - 7/12,1000 LV,3.0,51.0,34.0,Clinton +17,2015-07-09,2015-07-12
PPP (D)PPP (D),7/20 - 7/21,1087 RV,3.0,50.0,37.0,Clinton +13,2015-07-20,2015-07-21
CNN/Opinion ResearchCNN/ORC,7/22 - 7/25,898 RV,3.5,56.0,40.0,Clinton +16,2015-07-22,2015-07-25
McClatchy/MaristMcClatchy,7/22 - 7/28,964 RV,3.2,54.0,38.0,Clinton +16,2015-07-22,2015-07-28
QuinnipiacQuinnipiac,7/23 - 7/28,1644 RV,2.4,48.0,36.0,Clinton +12,2015-07-23,2015-07-28
FOX NewsFOX News,8/11 - 8/13,1008 RV,3.0,47.0,42.0,Clinton +5,2015-08-11,2015-08-13
CNN/ORCCNN/ORC,8/13 - 8/16,897 RV,3.5,51.0,45.0,Clinton +6,2015-08-13,2015-08-16
QuinnipiacQuinnipiac,8/20 - 8/25,1563 RV,2.5,45.0,41.0,Clinton +4,2015-08-20,2015-08-25
MSNBC/Telemundo/MaristMSNBC/Telemundo/Marist,8/26 - 9/9,1115 RV,2.9,53.0,40.0,Clinton +13,2015-08-26,2015-09-09
PPP (D)PPP (D),8/28 - 8/30,1254 RV,2.8,46.0,44.0,Clinton +2,2015-08-28,2015-08-30
SurveyUSASUSA,9/2 - 9/3,900 RV,3.3,40.0,45.0,Trump +5,2015-09-02,2015-09-03
CNN/ORCCNN/ORC,9/4 - 9/8,930 RV,3.0,48.0,48.0,Tie,2015-09-04,2015-09-08
ABC News/Wash PostABC/WP,9/7 - 9/10,821 RV,4.0,46.0,43.0,Clinton +3,2015-09-07,2015-09-10
QuinnipiacQuinnipiac,9/17 - 9/21,1574 RV,2.5,45.0,43.0,Clinton +2,2015-09-17,2015-09-21
NBC News/Wall St. JrnlNBC/WSJ,9/20 - 9/24,RV,--,49.0,39.0,Clinton +10,2015-09-20,2015-09-24
FOX NewsFOX News,9/20 - 9/22,1013 RV,3.0,46.0,42.0,Clinton +4,2015-09-20,2015-09-22
PPP (D)PPP (D),10/1 - 10/4,1338 RV,2.7,44.0,44.0,Tie,2015-10-01,2015-10-04
FOX NewsFOX News,10/10 - 10/12,1004 RV,3.0,40.0,45.0,Trump +5,2015-10-10,2015-10-12
CNN/ORCCNN/ORC,10/14 - 10/17,956 RV,3.0,50.0,45.0,Clinton +5,2015-10-14,2015-10-17
NBC News/Wall St. JrnlNBC/WSJ,10/25 - 10/29,847 RV,3.4,50.0,42.0,Clinton +8,2015-10-25,2015-10-29
QuinnipiacQuinnipiac,10/29 - 11/2,1144 RV,2.9,46.0,43.0,Clinton +3,2015-10-29,2015-11-02
McClatchy/MaristMcClatchy,10/29 - 11/4,541 RV,4.2,56.0,41.0,Clinton +15,2015-10-29,2015-11-04
MSNBC/Telemundo/MaristMSNBC/Telemundo/Marist,11/15 - 12/2,2360 RV,2.0,52.0,41.0,Clinton +11,2015-11-15,2015-12-02
