Poll,Date,Sample,MoE,Obama (D),Romney (R),Spread,Date_start,Date_end
PPP (D)PPP (D),4/17 - 4/19,686 RV,3.7,50.0,39.0,Obama +11,2009-04-17,2009-04-19
PPP (D)PPP (D),5/14 - 5/18,1000 RV,3.1,53.0,35.0,Obama +18,2009-05-14,2009-05-18
PPP (D)PPP (D),6/12 - 6/16,638 RV,3.9,48.0,40.0,Obama +8,2009-06-12,2009-06-16
PPP (D)PPP (D),7/15 - 7/16,577 RV,4.1,49.0,40.0,Obama +9,2009-07-15,2009-07-16
Rasmussen ReportsRasmussen Reports,7/16 - 7/17,1000 LV,3.0,45.0,45.0,Tie,2009-07-16,2009-07-17
PPP (D)PPP (D),8/14 - 8/17,909 RV,3.3,47.0,40.0,Obama +7,2009-08-14,2009-08-17
PPP (D)PPP (D),9/18 - 9/21,621 RV,3.9,48.0,39.0,Obama +9,2009-09-18,2009-09-21
PPP (D)PPP (D),10/16 - 10/19,766 RV,3.5,48.0,40.0,Obama +8,2009-10-16,2009-10-19
PPP (D)PPP (D),11/13 - 11/15,1066 RV,3.0,48.0,43.0,Obama +5,2009-11-13,2009-11-15
Rasmussen ReportsRasmussen Reports,11/24 - 11/24,800 LV,3.5,44.0,44.0,Tie,2009-11-24,2009-11-24
PPP (D)PPP (D),12/4 - 12/7,1253 RV,2.8,47.0,42.0,Obama +5,2009-12-04,2009-12-07
FOX NewsFOX News,1/12 - 1/14,900 RV,3.0,47.0,35.0,Obama +12,2010-01-12,2010-01-14
PPP (D)PPP (D),1/18 - 1/19,1151 RV,2.8,44.0,42.0,Obama +2,2010-01-18,2010-01-19
PPP (D)PPP (D),2/13 - 2/15,743 RV,3.6,45.0,43.0,Obama +2,2010-02-13,2010-02-15
PPP (D)PPP (D),3/12 - 3/14,1403 RV,2.6,44.0,44.0,Tie,2010-03-12,2010-03-14
CNN/Opinion ResearchCNN/Opinion Research,4/9 - 4/11,907 RV,3.5,53.0,45.0,Obama +8,2010-04-09,2010-04-11
PPP (D)PPP (D),4/9 - 4/11,622 RV,3.9,44.0,45.0,Romney +1,2010-04-09,2010-04-11
PPP (D)PPP (D),5/7 - 5/9,707 RV,3.7,46.0,44.0,Obama +2,2010-05-07,2010-05-09
PPP (D)PPP (D),6/4 - 6/7,650 RV,3.8,45.0,42.0,Obama +3,2010-06-04,2010-06-07
PPP (D)PPP (D),7/9 - 7/12,667 RV,3.8,43.0,46.0,Romney +3,2010-07-09,2010-07-12
PPP (D)PPP (D),8/6 - 8/9,606 RV,4.0,45.0,42.0,Obama +3,2010-08-06,2010-08-09
PPP (D)PPP (D),9/10 - 9/13,590 RV,4.0,46.0,43.0,Obama +3,2010-09-10,2010-09-13
FOX NewsFOX News,9/28 - 9/29,900 RV,3.0,41.0,40.0,Obama +1,2010-09-28,2010-09-29
CNN/Opinion ResearchCNN/Opinion Research,10/27 - 10/30,921 RV,3.0,45.0,50.0,Romney +5,2010-10-27,2010-10-30
QuinnipiacQuinnipiac,11/8 - 11/15,2424 RV,2.0,44.0,45.0,Romney +1,2010-11-08,2010-11-15
PPP (D)PPP (D),11/19 - 11/21,707 RV,3.7,47.0,46.0,Obama +1,2010-11-19,2010-11-21
