Period,quote_kw_2012,quote_total_2012,%_2012,quote_kw_2016,quote_total_2016,%_2016,quote_kw_2020,quote_total_2020,%_2020
Apr,1594.0,7144.0,22.31243001119821,1025.0,5419.0,18.914928953681493,1747.0,7102.0,24.598704590256265
Aug,2328.0,7692.0,30.265210608424336,2940.0,12544.0,23.4375,,,
Feb,1339.0,7930.0,16.885245901639344,895.0,4196.0,21.32983794089609,4086.0,13865.0,29.469888207717275
Jan,1797.0,8418.0,21.34711332858161,13.0,91.0,14.285714285714285,4609.0,15748.0,29.267208534417065
Jul,1990.0,9063.0,21.957409246386405,3034.0,11512.0,26.355107713690064,,,
Jun,2069.0,11312.0,18.29031117397454,67.0,279.0,24.014336917562723,,,
Mar,1687.0,7967.0,21.174846240743065,20.0,37.0,54.054054054054056,3779.0,14247.0,26.524882431389063
Max,19565.0,87629.0,30.265210608424336,14062.0,59426.0,80.0,14221.0,50962.0,29.469888207717275
May,2421.0,11771.0,20.567496389431657,2413.0,11375.0,21.213186813186812,,,
Mean,3260.8333333333335,14604.833333333334,22.666786377861495,2343.6666666666665,9904.333333333334,34.18224249254285,5688.4,20384.8,27.553157905771904
Median,2008.0,8093.0,22.31243001119821,1025.0,5419.0,24.014336917562723,4347.5,14997.5,27.729131835425882
Nov,247.0,1069.0,23.10570626753976,4.0,5.0,80.0,,,
Oct,2085.0,8093.0,25.76300506610651,30.0,39.0,76.92307692307693,,,
Sep,2008.0,7170.0,28.005578800557878,3621.0,13929.0,25.996123196209346,,,
Total,19565.0,87629.0,22.327083499754647,14062.0,59426.0,23.663043112442363,14221.0,50962.0,27.905105765079863
std,4763.815643910207,21362.67639489256,3.484393160765657,3638.2775785673275,15275.237906778051,21.18970293709014,4026.157163622712,14364.047068105907,1.660741789097778
